id,followers,following,message_out,message_in,membership,level,region,gold,silver,bronze,hm
1,711,432,13416,7722,silver,"top gun",Texas,247,243,198,429
2,17,17,47,51,Free,"topaz horse",,0,0,0,0
3,88,7,939,1014,Free,"topaz horse",Louisiana,0,0,0,0
4,319,87,4731,4978,gold,"leap-frog",None,115,120,92,193
5,376,519,4249,6596,silver,"perfect palomino",,187,234,235,905
6,56,41,324,226,Free,"citrine experience",Kansas,2,4,3,3
7,22,19,74,69,gold,"perfect palomino",None,0,1,0,2
8,109,72,549,522,Free,"perfect palomino",None,0,2,0,1
9,251,251,2400,2233,Free,"lyric diamond",Virginia,38,42,51,267
10,50,15,228,286,Free,"citrine experience",None,2,1,2,7
11,88,127,368,490,Free,"moonstone path",,6,10,11,36
12,71,146,220,333,Free,"supertopaz delight",Kentucky,6,4,5,24
13,51,43,213,143,Free,"topaz horse",None,0,1,0,0
14,22,97,89,58,Free,"topaz horse",,0,0,0,0
15,66,23,735,1557,Free,None,Virginia,0,0,0,0
16,135,154,1305,1007,silver,"diamond love",None,0,0,0,0
17,60,58,531,229,Free,"citrine experience",None,3,3,0,7
18,79,66,519,554,silver,"perfect palomino",Ohio,1,3,4,3
19,367,287,2204,1460,gold,"whimsical widget",Texas,1,1,1,1
20,30,39,82,162,Free,"topaz horse",,0,0,0,0
21,108,23,1563,1975,Free,None,None,0,0,0,0
22,711,273,13180,13822,Free,"perfect palomino",Nevada,111,125,69,257
23,485,172,1601,6791,silver,"onyx dragon",,238,230,222,621
24,57,56,308,254,Free,"perfect palomino",None,5,3,3,11
25,48,73,101,65,Free,"stunning sphinx",Missouri,0,1,0,0
26,30,15,68,168,silver,"perfect palomino",Texas,0,3,5,3
27,52,66,255,579,Free,"perfect palomino",Michigan,3,4,4,1
28,551,1140,2281,1669,Free,"tigereye texture",None,7,12,15,39
29,352,1060,319,1568,Free,"stunning sphinx",Minnesota,0,0,1,0
30,5,2,18,24,Free,"topaz horse",None,0,0,0,0
31,115,186,1288,888,Free,"pyrite eye",,6,4,9,53
32,239,87,1228,1497,Free,"hidden phosphate",None,16,14,26,88
33,63,171,14,16,Free,"emerald cat",None,0,0,0,0
34,828,391,6785,5098,gold,"hidden phosphate",None,29,35,25,71
35,24,37,111,69,Free,"stunning sphinx",None,0,0,1,0
36,15,32,29,29,Free,"stunning sphinx",,0,1,0,3
37,59,99,101,132,gold,"perfect palomino",Ohio,0,2,2,3
38,71,46,969,523,Free,"hyperbolic pebble",Texas,7,8,4,15
39,9,20,29,22,Free,"emerald cat",None,0,0,0,0
40,241,259,770,1513,gold,"dusted garnet",,34,30,32,93
41,75,207,56,68,Free,"perfect palomino",Colorado,1,0,0,1
42,16,22,74,114,Free,"emerald cat",Missouri,0,0,0,0
43,8,8,26,40,Free,"topaz horse",,0,0,0,0
44,21,34,153,172,Free,"topaz horse",Illinois,0,0,0,0
45,21,42,55,31,Free,"emerald cat",None,0,0,0,0
46,20,23,3,83,Free,"emerald cat",Texas,0,0,0,1
47,31,125,49,54,Free,"topaz horse",Florida,0,0,0,0
48,94,197,107,318,silver,"perfect palomino",Texas,1,3,0,4
49,4,6,23,12,Free,"emerald cat",None,0,0,0,0
50,269,321,702,1522,gold,"pyrite eye",Idaho,21,20,28,86
51,463,324,2578,3130,gold,"unending moment",Virginia,88,86,71,228
52,202,81,1020,2479,silver,"jade dragon",None,165,142,110,219
53,168,347,567,360,Free,"perfect palomino",,2,6,6,15
54,39,46,190,190,Free,"peridot parrot",None,4,4,1,9
55,238,225,2411,2614,silver,None,Tennessee,0,0,0,0
56,69,65,325,390,Free,"whimsical widget",None,1,0,3,22
57,416,767,855,2162,gold,"perfect palomino",Wisconsin,0,1,1,12
58,128,200,571,454,silver,"perfect palomino",,5,5,5,17
59,191,237,927,1082,gold,"diamond love",,20,29,23,39
60,144,167,1685,913,Free,"stunning sphinx",California,0,1,0,0
61,188,184,1377,670,gold,"citrine experience",California,3,4,5,17
62,29,31,132,147,silver,"whimsical widget",Pennsylvania,0,1,0,3
63,11,18,27,52,Free,"stunning sphinx",Illinois,1,0,0,1
64,8,9,10,36,Free,"topaz horse",South Dakota,0,0,0,0
65,40,20,58,277,Free,"perfect palomino",,4,2,7,17
66,4,12,2,2,gold,"emerald cat",None,0,0,0,0
67,194,17,1423,1385,gold,"new dragon",None,68,46,23,38
68,29,62,144,132,Free,"topaz horse",Kentucky,0,0,0,0
69,394,327,4023,4535,gold,"aventurine thought",Arizona,106,75,83,212
70,32,9,215,200,Free,"aventurine thought",Kansas,2,1,3,4
71,50,29,712,434,Free,"peridot parrot",California,1,2,2,3
72,4,1,3,13,Free,"emerald cat",,0,0,0,0
73,17,65,44,38,Free,"stunning sphinx",South Carolina,1,1,0,0
74,81,109,500,284,gold,"perfect palomino",Florida,0,1,0,1
75,18,7,80,50,Free,"stunning sphinx",Oklahoma,0,0,0,1
76,27,40,113,130,Free,"topaz horse",None,1,2,0,3
77,21,54,59,44,Free,"stunning sphinx",Pennsylvania,0,0,1,1
78,16,23,30,23,Free,"stunning sphinx",,0,1,0,1
79,403,598,689,2254,Free,"onyx dragon",,3,4,4,16
80,43,118,120,113,Free,"perfect palomino",Texas,0,0,3,2
81,42,58,53,169,Free,"topaz horse",New York,0,0,0,3
82,1180,3748,620,5003,gold,"whimsical widget",,1,1,2,15
83,34,48,264,168,Free,"emerald cat",Illinois,0,0,0,1
84,32,13,42,41,Free,"topaz horse",None,0,0,0,2
85,1016,943,32630,17775,gold,"lovely lute",None,142,95,73,155
86,706,142,65151,65535,silver,None,None,0,0,0,0
87,166,151,1205,772,Free,"surreal skittle",,18,11,12,19
88,113,136,168,519,Free,"whimsical widget",California,2,2,2,1
89,786,765,5357,7922,gold,None,,56,55,44,159
90,234,270,844,1700,Free,"opaline dream",Michigan,47,51,48,149
91,195,103,1603,2016,Free,"lapis-lazuli dream",,6,12,9,53
92,12,22,19,29,Free,"stunning sphinx",,0,1,0,1
93,31,18,4,164,silver,"emerald cat",Florida,0,0,0,0
94,99,177,375,332,Free,"whimsical widget",None,1,3,1,7
95,660,730,1413,7083,Free,"aventurine thought",Massachusetts,7,9,1,25
96,199,137,882,978,silver,None,,36,26,13,38
97,82,25,12791,3006,Free,"aventurine thought",New Hampshire,1,2,1,11
98,195,410,611,943,gold,"perfect palomino",,7,5,9,36
99,82,47,648,534,Free,"moonstone path",,13,11,6,17
100,104,177,41,812,silver,"perfect palomino",Maine,0,1,6,37
101,157,250,684,690,silver,"peregrine dream",None,19,17,21,60
